usuario,puntuacion,fecha,titulo,texto_comentario,fecha_sistema,texto_limpio,texto_original,texto_sin_stopwords,texto_comentario_limpio,texto_comentario_sin_stopwords,tokens,tokens_sin_stopwords,num_palabras,num_palabras_limpias,longitud_comentario,conteo_palabras_unicas,polarity,subjectivity,sentiment,emocion_predominante,longitud_texto
David,1,2025-12-18T19:54:18.000Z,Sin título,Desesperante. Llevo más de un mes para una devolución. Amazon ha bajado muchísimo la calidad en TODO. Y ya ni hablemos de comprar algo que no vendan ni envíen ellos. El servicio de atención al cliente...Ver más,2025-12-22 00:22:45,desesperante llevo mes devolucion bajado muchisimo calidad hablemos comprar vendan envien servicio atencion cliente,Desesperante. Llevo más de un mes para una devolución. Amazon ha bajado muchísimo la calidad en TODO. Y ya ni hablemos de comprar algo que no vendan ni envíen ellos. El servicio de atención al cliente...Ver más,desesperante llevo mes devolucion bajado muchisimo calidad hablemos comprar vendan envien servicio atencion cliente,desesperante llevo mas de un mes para una devolucion amazon ha bajado muchisimo la calidad en todo y ya ni hablemos de comprar algo que no vendan ni envien ellos el servicio de atencion al cliente ver mas,desesperante llevo mes devolucion bajado muchisimo calidad hablemos comprar vendan envien servicio atencion cliente,"['desesperante', 'llevo', 'mas', 'de', 'un', 'mes', 'para', 'una', 'devolucion', 'amazon', 'ha', 'bajado', 'muchisimo', 'la', 'calidad', 'en', 'todo', 'y', 'ya', 'ni', 'hablemos', 'de', 'comprar', 'algo', 'que', 'no', 'vendan', 'ni', 'envien', 'ellos', 'el', 'servicio', 'de', 'atencion', 'al', 'cliente', 'ver', 'mas']","['desesperante', 'llevo', 'mes', 'devolucion', 'bajado', 'muchisimo', 'calidad', 'hablemos', 'comprar', 'vendan', 'envien', 'servicio', 'atencion', 'cliente']",14,14,210,14,0.0,0.0,neutral,neutras,115
Fernando Jimenez,1,2025-12-04T00:44:23.000Z,Sin título,no tiene atencion al cliente solo inteligencia artificial y deja los paque sin entregar en mano . avandonados a su suerte en la entrada de los pisos a merced de cualquiera,2025-12-22 00:22:45,atencion cliente inteligencia artificial deja paque entregar mano avandonados suerte entrada pisos merced cualquiera,no tiene atencion al cliente solo inteligencia artificial y deja los paque sin entregar en mano . avandonados a su suerte en la entrada de los pisos a merced de cualquiera,atencion cliente inteligencia artificial deja paque entregar mano avandonados suerte entrada pisos merced cualquiera,no tiene atencion al cliente solo inteligencia artificial y deja los paque sin entregar en mano avandonados a su suerte en la entrada de los pisos a merced de cualquiera,atencion cliente inteligencia artificial deja paque entregar mano avandonados suerte entrada pisos merced cualquiera,"['no', 'tiene', 'atencion', 'al', 'cliente', 'solo', 'inteligencia', 'artificial', 'y', 'deja', 'los', 'paque', 'sin', 'entregar', 'en', 'mano', 'avandonados', 'a', 'su', 'suerte', 'en', 'la', 'entrada', 'de', 'los', 'pisos', 'a', 'merced', 'de', 'cualquiera']","['atencion', 'cliente', 'inteligencia', 'artificial', 'deja', 'paque', 'entregar', 'mano', 'avandonados', 'suerte', 'entrada', 'pisos', 'merced', 'cualquiera']",14,14,171,14,-0.6,1.0,negativo,neutras,116
Pixi,1,2025-12-04T19:27:50.000Z,Sin título,Recibo un correo electrónico en el que se me indica que me hacen una compensación por las molestias ocasionadas en un envío pero dicha compensación no aparece en mi cuenta. Me pongo en contacto con at...Ver más,2025-12-22 00:22:45,recibo correo electronico indica hacen compensacion molestias ocasionadas envio dicha compensacion aparece cuenta pongo contacto at,Recibo un correo electrónico en el que se me indica que me hacen una compensación por las molestias ocasionadas en un envío pero dicha compensación no aparece en mi cuenta. Me pongo en contacto con at...Ver más,recibo correo electronico indica hacen compensacion molestias ocasionadas envio dicha compensacion aparece cuenta pongo contacto at,recibo un correo electronico en el que se me indica que me hacen una compensacion por las molestias ocasionadas en un envio pero dicha compensacion no aparece en mi cuenta me pongo en contacto con at ver mas,recibo correo electronico indica hacen compensacion molestias ocasionadas envio dicha compensacion aparece cuenta pongo contacto at,"['recibo', 'un', 'correo', 'electronico', 'en', 'el', 'que', 'se', 'me', 'indica', 'que', 'me', 'hacen', 'una', 'compensacion', 'por', 'las', 'molestias', 'ocasionadas', 'en', 'un', 'envio', 'pero', 'dicha', 'compensacion', 'no', 'aparece', 'en', 'mi', 'cuenta', 'me', 'pongo', 'en', 'contacto', 'con', 'at', 'ver', 'mas']","['recibo', 'correo', 'electronico', 'indica', 'hacen', 'compensacion', 'molestias', 'ocasionadas', 'envio', 'dicha', 'compensacion', 'aparece', 'cuenta', 'pongo', 'contacto', 'at']",16,16,210,15,0.0,0.0,neutral,sin_emocion_detectada,131
Baldo Cano,1,2025-12-09T21:22:39.000Z,Sin título,"Las entregas están funcionando muy mal desde hace un mes, pedidos no entregados o perdidos por los transportistas ( Seur)",2025-12-22 00:22:45,entregas estan funcionando mal mes pedidos entregados perdidos transportistas seur,"Las entregas están funcionando muy mal desde hace un mes, pedidos no entregados o perdidos por los transportistas ( Seur)",entregas estan funcionando mal mes pedidos entregados perdidos transportistas seur,las entregas estan funcionando muy mal desde hace un mes pedidos no entregados o perdidos por los transportistas seur,entregas estan funcionando mal mes pedidos entregados perdidos transportistas seur,"['las', 'entregas', 'estan', 'funcionando', 'muy', 'mal', 'desde', 'hace', 'un', 'mes', 'pedidos', 'no', 'entregados', 'o', 'perdidos', 'por', 'los', 'transportistas', 'seur']","['entregas', 'estan', 'funcionando', 'mal', 'mes', 'pedidos', 'entregados', 'perdidos', 'transportistas', 'seur']",10,10,121,10,0.0,0.0,neutral,neutras,82
User,1,2025-12-01T20:49:35.000Z,Sin título,"He comprado un TV, frigorífico, colchón… y más cosas pero quería que me lo entregasen todo el mismo día aunque tuviese que esperar porque vivo a más de 45km de donde es la entrega y no han cumplido, c...Ver más",2025-12-22 00:22:45,comprado tv frigorifico colchon cosas queria entregasen mismo dia aunque esperar vivo km entrega cumplido c,"He comprado un TV, frigorífico, colchón… y más cosas pero quería que me lo entregasen todo el mismo día aunque tuviese que esperar porque vivo a más de 45km de donde es la entrega y no han cumplido, c...Ver más",comprado tv frigorifico colchon cosas queria entregasen mismo dia aunque esperar vivo km entrega cumplido c,he comprado un tv frigorifico colchon y mas cosas pero queria que me lo entregasen todo el mismo dia aunque tuviese que esperar porque vivo a mas de km de donde es la entrega y no han cumplido c ver mas,comprado tv frigorifico colchon cosas queria entregasen mismo dia aunque esperar vivo km entrega cumplido c,"['he', 'comprado', 'un', 'tv', 'frigorifico', 'colchon', 'y', 'mas', 'cosas', 'pero', 'queria', 'que', 'me', 'lo', 'entregasen', 'todo', 'el', 'mismo', 'dia', 'aunque', 'tuviese', 'que', 'esperar', 'porque', 'vivo', 'a', 'mas', 'de', 'km', 'de', 'donde', 'es', 'la', 'entrega', 'y', 'no', 'han', 'cumplido', 'c', 'ver', 'mas']","['comprado', 'tv', 'frigorifico', 'colchon', 'cosas', 'queria', 'entregasen', 'mismo', 'dia', 'aunque', 'esperar', 'vivo', 'km', 'entrega', 'cumplido', 'c']",16,16,210,16,0.0,0.0,neutral,neutras,107
Francisco José Rodríguez,2,2025-12-09T23:54:29.000Z,Sin título,"Cuando el vendedor es Amazon propiamente dicho, la entrega funciona bastante bien. 
Pero cuando el vendedor es una empresa externa, la entrega funciona bastante mal.",2025-12-22 00:22:45,vendedor propiamente dicho entrega funciona bastante bien vendedor empresa externa entrega funciona bastante mal,"Cuando el vendedor es Amazon propiamente dicho, la entrega funciona bastante bien. 
Pero cuando el vendedor es una empresa externa, la entrega funciona bastante mal.",vendedor propiamente dicho entrega funciona bastante bien vendedor empresa externa entrega funciona bastante mal,cuando el vendedor es amazon propiamente dicho la entrega funciona bastante bien pero cuando el vendedor es una empresa externa la entrega funciona bastante mal,vendedor propiamente dicho entrega funciona bastante bien vendedor empresa externa entrega funciona bastante mal,"['cuando', 'el', 'vendedor', 'es', 'amazon', 'propiamente', 'dicho', 'la', 'entrega', 'funciona', 'bastante', 'bien', 'pero', 'cuando', 'el', 'vendedor', 'es', 'una', 'empresa', 'externa', 'la', 'entrega', 'funciona', 'bastante', 'mal']","['vendedor', 'propiamente', 'dicho', 'entrega', 'funciona', 'bastante', 'bien', 'vendedor', 'empresa', 'externa', 'entrega', 'funciona', 'bastante', 'mal']",14,14,165,10,0.0,0.0,neutral,positivas,112
Free,1,2025-12-05T14:08:07.000Z,Sin título,"Pongo una, porque no puedo poner 0. Ayer 12 horas un paquete en reparto, llamo y me dicen que acaban de hablar con el mensajero y que me lo entrega en un momento. A las 22:30, vuelvo a llamar y me dic...Ver más",2025-12-22 00:22:45,pongo puedo poner ayer horas paquete reparto llamo dicen acaban hablar mensajero entrega momento vuelvo llamar dic,"Pongo una, porque no puedo poner 0. Ayer 12 horas un paquete en reparto, llamo y me dicen que acaban de hablar con el mensajero y que me lo entrega en un momento. A las 22:30, vuelvo a llamar y me dic...Ver más",pongo puedo poner ayer horas paquete reparto llamo dicen acaban hablar mensajero entrega momento vuelvo llamar dic,pongo una porque no puedo poner ayer horas un paquete en reparto llamo y me dicen que acaban de hablar con el mensajero y que me lo entrega en un momento a las vuelvo a llamar y me dic ver mas,pongo puedo poner ayer horas paquete reparto llamo dicen acaban hablar mensajero entrega momento vuelvo llamar dic,"['pongo', 'una', 'porque', 'no', 'puedo', 'poner', 'ayer', 'horas', 'un', 'paquete', 'en', 'reparto', 'llamo', 'y', 'me', 'dicen', 'que', 'acaban', 'de', 'hablar', 'con', 'el', 'mensajero', 'y', 'que', 'me', 'lo', 'entrega', 'en', 'un', 'momento', 'a', 'las', 'vuelvo', 'a', 'llamar', 'y', 'me', 'dic', 'ver', 'mas']","['pongo', 'puedo', 'poner', 'ayer', 'horas', 'paquete', 'reparto', 'llamo', 'dicen', 'acaban', 'hablar', 'mensajero', 'entrega', 'momento', 'vuelvo', 'llamar', 'dic']",17,17,210,17,0.0,0.0,neutral,neutras,114
Santiago López Rodriguez,3,2025-12-08T14:16:41.000Z,Sin título,"Hola, muchos productos no dan la opción de recoger en punto de recogida, esto ha hecho que no haga muchas compras que de otro modo si hubiera hecho. Saludos",2025-12-22 00:22:45,hola productos dan opcion recoger punto recogida hecho haga muchas compras modo hecho saludos,"Hola, muchos productos no dan la opción de recoger en punto de recogida, esto ha hecho que no haga muchas compras que de otro modo si hubiera hecho. Saludos",hola productos dan opcion recoger punto recogida hecho haga muchas compras modo hecho saludos,hola muchos productos no dan la opcion de recoger en punto de recogida esto ha hecho que no haga muchas compras que de otro modo si hubiera hecho saludos,hola productos dan opcion recoger punto recogida hecho haga muchas compras modo hecho saludos,"['hola', 'muchos', 'productos', 'no', 'dan', 'la', 'opcion', 'de', 'recoger', 'en', 'punto', 'de', 'recogida', 'esto', 'ha', 'hecho', 'que', 'no', 'haga', 'muchas', 'compras', 'que', 'de', 'otro', 'modo', 'si', 'hubiera', 'hecho', 'saludos']","['hola', 'productos', 'dan', 'opcion', 'recoger', 'punto', 'recogida', 'hecho', 'haga', 'muchas', 'compras', 'modo', 'hecho', 'saludos']",14,14,156,13,0.0,0.0,neutral,neutras,93
emilio,1,2025-12-04T20:42:26.000Z,Sin título,"Paquete en entrega desde el dia 1 , a saber que han enviado y donde, esta en reparto ya tres dias con direccion incorrecta, el vendedor ni se preocupa, amazon balones fuera, 10 dias del pedido y fina...Ver más",2025-12-22 00:22:45,paquete entrega dia saber enviado reparto tres dias direccion incorrecta vendedor preocupa balones dias pedido fina,"Paquete en entrega desde el dia 1 , a saber que han enviado y donde, esta en reparto ya tres dias con direccion incorrecta, el vendedor ni se preocupa, amazon balones fuera, 10 dias del pedido y fina...Ver más",paquete entrega dia saber enviado reparto tres dias direccion incorrecta vendedor preocupa balones dias pedido fina,paquete en entrega desde el dia a saber que han enviado y donde esta en reparto ya tres dias con direccion incorrecta el vendedor ni se preocupa amazon balones fuera dias del pedido y fina ver mas,paquete entrega dia saber enviado reparto tres dias direccion incorrecta vendedor preocupa balones dias pedido fina,"['paquete', 'en', 'entrega', 'desde', 'el', 'dia', 'a', 'saber', 'que', 'han', 'enviado', 'y', 'donde', 'esta', 'en', 'reparto', 'ya', 'tres', 'dias', 'con', 'direccion', 'incorrecta', 'el', 'vendedor', 'ni', 'se', 'preocupa', 'amazon', 'balones', 'fuera', 'dias', 'del', 'pedido', 'y', 'fina', 'ver', 'mas']","['paquete', 'entrega', 'dia', 'saber', 'enviado', 'reparto', 'tres', 'dias', 'direccion', 'incorrecta', 'vendedor', 'preocupa', 'balones', 'dias', 'pedido', 'fina']",16,16,209,15,0.0,0.0,neutral,neutras,115
gabriel godoy,1,2025-12-16T11:42:07.000Z,Sin título,"Esto se ha vuelto un fiasco , pago todos los servicios de amazon y no he recibido ninguno de los productos que he comprado y algunos se los ha quedado el transportista lo colocan como entregado y te r...Ver más",2025-12-22 00:22:45,vuelto fiasco pago servicios recibido ninguno productos comprado quedado transportista colocan entregado r,"Esto se ha vuelto un fiasco , pago todos los servicios de amazon y no he recibido ninguno de los productos que he comprado y algunos se los ha quedado el transportista lo colocan como entregado y te r...Ver más",vuelto fiasco pago servicios recibido ninguno productos comprado quedado transportista colocan entregado r,esto se ha vuelto un fiasco pago todos los servicios de amazon y no he recibido ninguno de los productos que he comprado y algunos se los ha quedado el transportista lo colocan como entregado y te r ver mas,vuelto fiasco pago servicios recibido ninguno productos comprado quedado transportista colocan entregado r,"['esto', 'se', 'ha', 'vuelto', 'un', 'fiasco', 'pago', 'todos', 'los', 'servicios', 'de', 'amazon', 'y', 'no', 'he', 'recibido', 'ninguno', 'de', 'los', 'productos', 'que', 'he', 'comprado', 'y', 'algunos', 'se', 'los', 'ha', 'quedado', 'el', 'transportista', 'lo', 'colocan', 'como', 'entregado', 'y', 'te', 'r', 'ver', 'mas']","['vuelto', 'fiasco', 'pago', 'servicios', 'recibido', 'ninguno', 'productos', 'comprado', 'quedado', 'transportista', 'colocan', 'entregado', 'r']",13,13,210,13,0.0,0.0,neutral,neutras,106
Manuel Ramírez Madueño,1,2025-12-12T01:12:10.000Z,Sin título,"Amazon Prime y los paquetes tengo que buscarlos yo en el punto que ellos (Seur) ponen por no decir los reembolsos de 14 días que tengo ultimo desde día 3 y nada. Yo no le pagué en 14 días a ellos, par...Ver más",2025-12-22 00:22:45,prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias par,"Amazon Prime y los paquetes tengo que buscarlos yo en el punto que ellos (Seur) ponen por no decir los reembolsos de 14 días que tengo ultimo desde día 3 y nada. Yo no le pagué en 14 días a ellos, par...Ver más",prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias par,amazon prime y los paquetes tengo que buscarlos yo en el punto que ellos seur ponen por no decir los reembolsos de dias que tengo ultimo desde dia y nada yo no le pague en dias a ellos par ver mas,prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias par,"['amazon', 'prime', 'y', 'los', 'paquetes', 'tengo', 'que', 'buscarlos', 'yo', 'en', 'el', 'punto', 'que', 'ellos', 'seur', 'ponen', 'por', 'no', 'decir', 'los', 'reembolsos', 'de', 'dias', 'que', 'tengo', 'ultimo', 'desde', 'dia', 'y', 'nada', 'yo', 'no', 'le', 'pague', 'en', 'dias', 'a', 'ellos', 'par', 'ver', 'mas']","['prime', 'paquetes', 'buscarlos', 'punto', 'seur', 'ponen', 'decir', 'reembolsos', 'dias', 'ultimo', 'dia', 'pague', 'dias', 'par']",14,14,210,13,0.0,0.0,neutral,negativas,89
RAQUEL,1,2025-11-26T14:35:22.000Z,Sin título,ME PONGO EN CONTACTO CON EL SERVICIO DE ATENCION AL CLIENTE DE AMAZON PARA PREGUNTAR SOBRE UN PRODUCTO QUE VENDE BASTANTE MAS CARO QUE UN VENDEDOR EXTERNO Y ME DICEN QUE INTETARAN EN 48 HORAS AJUSTAR...Ver más,2025-12-22 00:22:45,pongo contacto servicio atencion cliente preguntar vende bastante caro vendedor externo dicen intetaran horas ajustar,ME PONGO EN CONTACTO CON EL SERVICIO DE ATENCION AL CLIENTE DE AMAZON PARA PREGUNTAR SOBRE UN PRODUCTO QUE VENDE BASTANTE MAS CARO QUE UN VENDEDOR EXTERNO Y ME DICEN QUE INTETARAN EN 48 HORAS AJUSTAR...Ver más,pongo contacto servicio atencion cliente preguntar vende bastante caro vendedor externo dicen intetaran horas ajustar,me pongo en contacto con el servicio de atencion al cliente de amazon para preguntar sobre un producto que vende bastante mas caro que un vendedor externo y me dicen que intetaran en horas ajustar ver mas,pongo contacto servicio atencion cliente preguntar vende bastante caro vendedor externo dicen intetaran horas ajustar,"['me', 'pongo', 'en', 'contacto', 'con', 'el', 'servicio', 'de', 'atencion', 'al', 'cliente', 'de', 'amazon', 'para', 'preguntar', 'sobre', 'un', 'producto', 'que', 'vende', 'bastante', 'mas', 'caro', 'que', 'un', 'vendedor', 'externo', 'y', 'me', 'dicen', 'que', 'intetaran', 'en', 'horas', 'ajustar', 'ver', 'mas']","['pongo', 'contacto', 'servicio', 'atencion', 'cliente', 'preguntar', 'vende', 'bastante', 'caro', 'vendedor', 'externo', 'dicen', 'intetaran', 'horas', 'ajustar']",15,15,209,15,0.0,0.0,neutral,neutras,117
Julio Calderón,2,2025-12-18T19:53:53.000Z,Sin título,"Mienten con la fecha de entrega. Compré un par de artículos el 16/12 con fecha de entrega el 20/12, me indica que entregarán el 4 de Enero, he chateado con atención al cliente 2 veces, el primero par...Ver más",2025-12-22 00:22:45,mienten fecha entrega compre par articulos fecha entrega indica entregaran enero chateado atencion cliente veces primero par,"Mienten con la fecha de entrega. Compré un par de artículos el 16/12 con fecha de entrega el 20/12, me indica que entregarán el 4 de Enero, he chateado con atención al cliente 2 veces, el primero par...Ver más",mienten fecha entrega compre par articulos fecha entrega indica entregaran enero chateado atencion cliente veces primero par,mienten con la fecha de entrega compre un par de articulos el con fecha de entrega el me indica que entregaran el de enero he chateado con atencion al cliente veces el primero par ver mas,mienten fecha entrega compre par articulos fecha entrega indica entregaran enero chateado atencion cliente veces primero par,"['mienten', 'con', 'la', 'fecha', 'de', 'entrega', 'compre', 'un', 'par', 'de', 'articulos', 'el', 'con', 'fecha', 'de', 'entrega', 'el', 'me', 'indica', 'que', 'entregaran', 'el', 'de', 'enero', 'he', 'chateado', 'con', 'atencion', 'al', 'cliente', 'veces', 'el', 'primero', 'par', 'ver', 'mas']","['mienten', 'fecha', 'entrega', 'compre', 'par', 'articulos', 'fecha', 'entrega', 'indica', 'entregaran', 'enero', 'chateado', 'atencion', 'cliente', 'veces', 'primero', 'par']",17,17,209,14,0.0,0.0,neutral,neutras,124
Emar mar,1,2025-12-06T16:11:59.000Z,Sin título,"Esta empresa facilita datos particulares como el DNI a las empresas de mensajería. 
Sorprendentemente, si la entrega es directa de ellos no lo piden.
Eso es una ilegalidad que habrá que consultar a...Ver más",2025-12-22 00:22:45,empresa facilita datos particulares dni empresas mensajeria sorprendentemente entrega directa piden ilegalidad habra consultar,"Esta empresa facilita datos particulares como el DNI a las empresas de mensajería. 
Sorprendentemente, si la entrega es directa de ellos no lo piden.
Eso es una ilegalidad que habrá que consultar a...Ver más",empresa facilita datos particulares dni empresas mensajeria sorprendentemente entrega directa piden ilegalidad habra consultar,esta empresa facilita datos particulares como el dni a las empresas de mensajeria sorprendentemente si la entrega es directa de ellos no lo piden eso es una ilegalidad que habra que consultar a ver mas,empresa facilita datos particulares dni empresas mensajeria sorprendentemente entrega directa piden ilegalidad habra consultar,"['esta', 'empresa', 'facilita', 'datos', 'particulares', 'como', 'el', 'dni', 'a', 'las', 'empresas', 'de', 'mensajeria', 'sorprendentemente', 'si', 'la', 'entrega', 'es', 'directa', 'de', 'ellos', 'no', 'lo', 'piden', 'eso', 'es', 'una', 'ilegalidad', 'que', 'habra', 'que', 'consultar', 'a', 'ver', 'mas']","['empresa', 'facilita', 'datos', 'particulares', 'dni', 'empresas', 'mensajeria', 'sorprendentemente', 'entrega', 'directa', 'piden', 'ilegalidad', 'habra', 'consultar']",14,14,207,14,0.0,0.0,neutral,neutras,126
la posada de hogsmeade,1,2025-12-13T14:46:05.000Z,Sin título,"realmente horrible para iniciar tu cuenta dios mio llevo 2 horas luchando con los correos que te mandan es imposible todo el rato verificación tras verificación 
y eso que era para entrar a linkedlin...Ver más",2025-12-22 00:22:45,realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificacion entrar linkedlin,"realmente horrible para iniciar tu cuenta dios mio llevo 2 horas luchando con los correos que te mandan es imposible todo el rato verificación tras verificación 
y eso que era para entrar a linkedlin...Ver más",realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificacion entrar linkedlin,realmente horrible para iniciar tu cuenta dios mio llevo horas luchando con los correos que te mandan es imposible todo el rato verificacion tras verificacion y eso que era para entrar a linkedlin ver mas,realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificacion entrar linkedlin,"['realmente', 'horrible', 'para', 'iniciar', 'tu', 'cuenta', 'dios', 'mio', 'llevo', 'horas', 'luchando', 'con', 'los', 'correos', 'que', 'te', 'mandan', 'es', 'imposible', 'todo', 'el', 'rato', 'verificacion', 'tras', 'verificacion', 'y', 'eso', 'que', 'era', 'para', 'entrar', 'a', 'linkedlin', 'ver', 'mas']","['realmente', 'horrible', 'iniciar', 'cuenta', 'dios', 'mio', 'llevo', 'horas', 'luchando', 'correos', 'mandan', 'imposible', 'rato', 'verificacion', 'tras', 'verificacion', 'entrar', 'linkedlin']",18,18,209,17,-1.0,1.0,negativo,negativas,141
Carlos Rubio,1,2025-12-10T13:50:33.000Z,Sin título,"Parece mentira que trabajen con correo express, me dicen que no había nadie en casa y no he salido en toda la mañana. Pero que atajo mentirosos, que la gente sepa cómo trabaja correo express.",2025-12-22 00:22:45,parece mentira trabajen correo express dicen habia nadie casa salido toda manana atajo mentirosos gente sepa trabaja correo express,"Parece mentira que trabajen con correo express, me dicen que no había nadie en casa y no he salido en toda la mañana. Pero que atajo mentirosos, que la gente sepa cómo trabaja correo express.",parece mentira trabajen correo express dicen habia nadie casa salido toda manana atajo mentirosos gente sepa trabaja correo express,parece mentira que trabajen con correo express me dicen que no habia nadie en casa y no he salido en toda la manana pero que atajo mentirosos que la gente sepa como trabaja correo express,parece mentira trabajen correo express dicen habia nadie casa salido toda manana atajo mentirosos gente sepa trabaja correo express,"['parece', 'mentira', 'que', 'trabajen', 'con', 'correo', 'express', 'me', 'dicen', 'que', 'no', 'habia', 'nadie', 'en', 'casa', 'y', 'no', 'he', 'salido', 'en', 'toda', 'la', 'manana', 'pero', 'que', 'atajo', 'mentirosos', 'que', 'la', 'gente', 'sepa', 'como', 'trabaja', 'correo', 'express']","['parece', 'mentira', 'trabajen', 'correo', 'express', 'dicen', 'habia', 'nadie', 'casa', 'salido', 'toda', 'manana', 'atajo', 'mentirosos', 'gente', 'sepa', 'trabaja', 'correo', 'express']",19,19,191,17,0.0,0.0,neutral,sin_emocion_detectada,131
Vicente,1,2025-12-20T01:18:20.000Z,Sin título,"El otro día (10.12.25) compré dos camas en Amazon de la empresa Mattfy, y solo me trajeron una, diciéndome que con la otra había surgido una incidencia y que por el momento tenía que esperar hasta el...Ver más",2025-12-22 00:22:45,dia compre dos camas empresa mattfy trajeron diciendome habia surgido incidencia momento tenia esperar,"El otro día (10.12.25) compré dos camas en Amazon de la empresa Mattfy, y solo me trajeron una, diciéndome que con la otra había surgido una incidencia y que por el momento tenía que esperar hasta el...Ver más",dia compre dos camas empresa mattfy trajeron diciendome habia surgido incidencia momento tenia esperar,el otro dia compre dos camas en amazon de la empresa mattfy y solo me trajeron una diciendome que con la otra habia surgido una incidencia y que por el momento tenia que esperar hasta el ver mas,dia compre dos camas empresa mattfy trajeron diciendome habia surgido incidencia momento tenia esperar,"['el', 'otro', 'dia', 'compre', 'dos', 'camas', 'en', 'amazon', 'de', 'la', 'empresa', 'mattfy', 'y', 'solo', 'me', 'trajeron', 'una', 'diciendome', 'que', 'con', 'la', 'otra', 'habia', 'surgido', 'una', 'incidencia', 'y', 'que', 'por', 'el', 'momento', 'tenia', 'que', 'esperar', 'hasta', 'el', 'ver', 'mas']","['dia', 'compre', 'dos', 'camas', 'empresa', 'mattfy', 'trajeron', 'diciendome', 'habia', 'surgido', 'incidencia', 'momento', 'tenia', 'esperar']",14,14,209,14,0.0,0.0,neutral,sin_emocion_detectada,102
Faisal,1,2025-12-19T03:43:46.000Z,Sin título,"Marcar un pedido como “entregado” cuando no lo ha sido es una práctica vergonzosa y totalmente inaceptable. No estamos hablando de un retraso ni de un paquete perdido, sino de una mentira direct...Ver más",2025-12-22 00:22:45,marcar pedido entregado sido practica vergonzosa totalmente inaceptable hablando retraso paquete perdido sino mentira direct,"Marcar un pedido como “entregado” cuando no lo ha sido es una práctica vergonzosa y totalmente inaceptable. No estamos hablando de un retraso ni de un paquete perdido, sino de una mentira direct...Ver más",marcar pedido entregado sido practica vergonzosa totalmente inaceptable hablando retraso paquete perdido sino mentira direct,marcar un pedido como entregado cuando no lo ha sido es una practica vergonzosa y totalmente inaceptable no estamos hablando de un retraso ni de un paquete perdido sino de una mentira direct ver mas,marcar pedido entregado sido practica vergonzosa totalmente inaceptable hablando retraso paquete perdido sino mentira direct,"['marcar', 'un', 'pedido', 'como', 'entregado', 'cuando', 'no', 'lo', 'ha', 'sido', 'es', 'una', 'practica', 'vergonzosa', 'y', 'totalmente', 'inaceptable', 'no', 'estamos', 'hablando', 'de', 'un', 'retraso', 'ni', 'de', 'un', 'paquete', 'perdido', 'sino', 'de', 'una', 'mentira', 'direct', 'ver', 'mas']","['marcar', 'pedido', 'entregado', 'sido', 'practica', 'vergonzosa', 'totalmente', 'inaceptable', 'hablando', 'retraso', 'paquete', 'perdido', 'sino', 'mentira', 'direct']",15,15,204,15,0.1,0.4,neutral,neutras,124
Javi,1,2025-12-12T22:22:03.000Z,Lamentable,Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
Lola Franco,5,2025-12-12T18:58:00.000Z,Amazon,Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
Sofía Fondón,1,2025-12-12T15:05:04.000Z,"Pésima atención, engaño",Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
Cararil Lion,1,2025-12-12T14:33:37.000Z,No entregan los pedidos,Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
Manuel Ramírez Madueño,1,2025-12-12T01:12:10.000Z,Amazon Prime,Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
Jonathan Ortega Villarreal,1,2025-12-12T00:08:21.000Z,Conductores de Amazon,Texto no disponible,2025-12-22 00:22:45,texto disponible,Texto no disponible,texto disponible,texto no disponible,texto disponible,"['texto', 'no', 'disponible']","['texto', 'disponible']",2,2,19,2,0.0,0.0,neutral,sin_emocion_detectada,16
